"dep","nouvelle","anciennes","date","population","chflieu","jorf"
"14","Valdallière","Bernières-le-Patry|Burcy|Chênedollé|Le Désert|Estry|Montchamp|Pierres|Presles|La Rocque|Rully|Saint-Charles-de-Percy|Le Theil-Bocage|Vassy|Viessoix",,,,
"14","Valorbiquet","La Chapelle-Yvon|Saint-Cyr-du-Ronceray|Saint-Julien-de-Mailloc|Saint-Pierre-de-Mailloc|Tordouet","2015-12-09",2478,"Saint-Cyr-du-Ronceray",
"15","Le Rouget-Pers","Le Rouget|Pers",,1289,"Le Rouget",
"15","Saint-Constant-Fournoulès","Saint-Constant|Fournoulès",,640,"Saint-Constant","JORFTEXT000031690300"
"15","Val-d'Arcomie","Faverolles|Loubaresse|Saint-Just|Saint-Marc",,1031,"Loubaresse","JORFTEXT000031690173"
"16","Boisné-la-Tude","Charmant|Chavenat|Juillaguet",,732,"Charmant","JORFTEXT000031690239"
"16","Confolens","Confolens|Saint-Germain-de-Confolens",,2935,"Confolens",
"16","Genac-Bignac","Genac|Bignac",,,,
"16","Rouillac","Plaizac|Rouillac|Sonneville",,2312,"Rouillac","JORFTEXT000031690161"
"16","Val-des-Vignes","Aubeville|Jurignac|Mainfonds|Péreuil",,1364,"Jurignac","JORFTEXT000031690185"
"17","Essouvert","La Benâte|Saint-Denis-du-Pin",,1227,"Saint-Denis-du-Pin","JORFTEXT000031690224"
"17","Réaux-sur-Trèfle","Réaux|Moings|Saint-Maurice-de-Tavernole",,795,"Réaux","JORFTEXT000031690140"
"19","Malemort","Malemort-sur-Corrèze|Venarsal",,8330,"Malemort-sur-Corrèze","JORFTEXT000031690215"
"22","Jugon-les-Lacs","Jugon-les-Lacs|Dolo",,,"Jugon-les-Lacs",
"22","Lamballe","Lamballe|Meslin",,,"Lamballe",
"22","Le Mené","Collinée|Langourla|Le Gouray|Plessala|Saint-Gilles-du-Mené|Saint-Gouéno|Saint-Jacut-du-Mené",,,"Collinée",
"22","Les Moulins","Plémet|La Ferrière",,,"Plémet",
"22","Plœuc-L’Hermitage","Plœuc-sur-Lié|L'Hermitage-Lorge",,,"Plœuc-sur-Lié",
"22","Pordic","Pordic|Tréméloir",,,"Pordic",
"23","Parsac-Rimondeix","Parsac|Rimondeix",,694,"Parsac","JORFTEXT000031690158"
"24","Boulazac-Isle-Manoire","Atur|Boulazac|Saint-Laurent-sur-Manoire",,,,
"24","Brantôme-en-Périgord","Brantôme|Saint-Julien-de-Bourdeilles",,,,
"24","Coux-et-Bigaroque-Mouzens","Coux-et-Bigaroque|Mouzens",,,,
"24","Parcoul-Chenaud","Chenaud|Parcoul",,,,
"24","Pays-de-Belvès","Belvès|Saint-Amand-de-Belvès",,,,
"24","Saint-Aulaye-Puymangou","Saint-Aulaye|Puymangou",,,,
"24","Sainte-Alvère-Saint-Laurent-les-Bâtons","Sainte-Alvère|Saint-Laurent-des-Bâtons",,,,
"24","Sorges-et-Ligueux-en-Périgord","Ligueux|Sorges",,1613,"Sorges",
"25","Les Premiers Sapins","Athose|Chasnans|Hautepierre-le-Châtelet|Nods|Rantechaux|Vanclans",,1537,"Nods","JORFTEXT000031690275"
"25","Ornans","Ornans|Bonnevaux-le-Prieuré",,4460,"Ornans","JORFTEXT000031690227"
"25","Osselle-Routelle","Osselle|Routelle",,905,"Osselle",
